ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0      1261.5613      3338.8952      3748.6464       193.0761        -938964.4827     84976.4589         0.0000         0.0000    149466.9812        -695978.8636       299.2229   -845445.8449   -695634.2988       299.2229            -39.8824        -5.4540   2461641.3306       -39.8824        -5.4540
ENERGY:      40      1284.3029      3375.4251      3747.6433       197.9908        -938169.4049     84383.2275         0.0000         0.0000    149275.7892        -695905.0261       298.8401   -845180.8153   -695556.3823       299.1211            -74.2898       -40.8108   2463415.0250        15.2421        15.3259
ENERGY:      80      1298.7094      3389.9540      3766.7312       230.0422        -938637.8335     84519.1116         0.0000         0.0000    149611.9034        -695821.3817       299.5130   -845433.2851   -695481.2225       299.3332            -86.3918       -51.7158   2463459.2480        -6.6903        -6.5827
ENERGY:     120      1307.4261      3386.3521      3773.5604       203.6091        -938485.0112     84845.4584         0.0000         0.0000    149169.0609        -695799.5442       298.6265   -844968.6052   -695455.1167       299.0197            -53.3849       -18.4828   2463703.6403        -6.6587        -6.4956
ENERGY:     160      1261.8342      3420.0535      3742.8240       203.3571        -938806.5178     84962.2090         0.0000         0.0000    149566.4119        -695649.8279       299.4219   -845216.2398   -695295.2111       299.0369            -30.4510         4.8959   2461763.5050        -5.4263        -5.3213
ENERGY:     200      1267.5506      3336.5791      3746.9800       199.1735        -939575.2288     85469.6085         0.0000         0.0000    149805.4873        -695749.8496       299.9005   -845555.3370   -695413.0327       299.3864              2.8052        36.4008   2461946.6465         6.8299         6.6817
ENERGY:     240      1262.8041      3399.8021      3752.2753       194.9162        -940006.3554     85802.0302         0.0000         0.0000    149640.5813        -695953.9461       299.5704   -845594.5275   -695611.8668       299.2989             89.2004       121.9941   2460529.7637        -3.0338        -3.3480
ENERGY:     280      1275.9210      3398.3395      3752.2620       212.1345        -939081.0049     85042.4402         0.0000         0.0000    149471.4150        -695928.4927       299.2318   -845399.9077   -695589.7655       299.1154            -38.7561        -3.5837   2460908.6529        -2.7767        -2.6856
ENERGY:     320      1280.0326      3361.4275      3745.4841       195.7434        -938429.6050     84534.2320         0.0000         0.0000    149309.1407        -696003.5447       298.9069   -845312.6854   -695659.9152       298.8972            -94.6780       -59.5227   2460226.6098        22.4535        22.5392
ENERGY:     360      1294.1542      3329.4317      3725.4696       213.8919        -938802.5352     85054.7987         0.0000         0.0000    149263.1526        -695921.6365       298.8148   -845184.7891   -695565.4367       298.6038            -26.2552         5.4203   2460712.9149       -19.4845       -19.4813
ENERGY:     400      1289.7595      3309.8454      3760.2348       215.7245        -939136.8927     85253.6653         0.0000         0.0000    149454.3162        -695853.3471       299.1975   -845307.6633   -695503.3666       298.7537             -8.4245        26.2093   2461452.4115        -2.5707        -2.6556
ENERGY:     440      1231.3730      3385.9574      3773.6170       215.8400        -938678.5438     84865.3593         0.0000         0.0000    149262.0291        -695944.3679       298.8126   -845206.3970   -695601.7005       298.7330            -60.3298       -25.4423   2463554.3524        -4.3579        -4.4393
ENERGY:     480      1220.0506      3416.1074      3753.9444       205.0168        -938837.0645     84889.7072         0.0000         0.0000    149416.4306        -695935.8074       299.1217   -845352.2380   -695597.9156       298.7395            -15.9778        15.9999   2461986.8860        -9.5549        -9.4774
ENERGY:     520      1304.5110      3433.0944      3721.1846       215.0303        -938976.7191     85278.4381         0.0000         0.0000    149124.9259        -695899.5348       298.5381   -845024.4607   -695557.2862       299.1434             20.9696        53.6743   2460744.1885         5.2401         5.3086
ENERGY:     560      1277.5413      3440.7461      3703.9637       202.1112        -939220.8380     85424.6715         0.0000         0.0000    149358.6768        -695813.1275       299.0061   -845171.8043   -695468.9621       298.8082            -18.7332        14.6032   2461973.3924         6.3689         6.3305
ENERGY:     600      1285.5997      3442.9014      3738.0982       205.3583        -938840.8045     85051.2046         0.0000         0.0000    149415.1306        -695702.5117       299.1191   -845117.6423   -695365.5971       299.1233            -69.9742       -38.4887   2462835.0366       -31.0539       -31.2755
ENERGY:     640      1264.7374      3414.6430      3750.5749       207.0006        -938951.8421     85034.4595         0.0000         0.0000    149681.8581        -695598.5685       299.6530   -845280.4266   -695256.0600       299.5843            -54.4654       -20.5226   2462881.4901        10.6305        10.5374
ENERGY:     680      1285.3701      3414.8931      3723.9445       211.1156        -938685.6299     85334.7269         0.0000         0.0000    149449.3104        -695266.2693       299.1875   -844715.5796   -694931.6671       299.4311            -32.6281         1.6764   2464055.5495        -7.2804        -7.1441
ENERGY:     720      1284.2218      3424.6703      3781.2067       200.6041        -938108.0062     84691.8182         0.0000         0.0000    149414.9546        -695310.5306       299.1187   -844725.4852   -694970.7161       298.8879            -92.9625       -61.6659   2464187.4208        19.1900        19.0586
ENERGY:     760      1302.5013      3370.7693      3782.3906       205.0215        -937857.9432     84478.2805         0.0000         0.0000    149730.6167        -694988.3633       299.7507   -844718.9800   -694653.5897       299.0459            -99.8642       -61.6396   2463972.6337       -23.0254       -22.9989
ENERGY:     800      1274.4315      3407.9699      3778.4408       194.0167        -937926.8024     85039.5416         0.0000         0.0000    149259.9628        -694972.4392       298.8084   -844232.4020   -694618.7461       299.6743              0.9713        34.8128   2462145.3875         4.8981         4.7111
ENERGY:     840      1239.8374      3371.2654      3747.8725       203.4017        -937541.9133     84086.2102         0.0000         0.0000    149980.0377        -694913.2883       300.2500   -844893.3260   -694563.0896       299.9286            -81.4004       -49.4568   2459641.0329         2.1816         1.9099
ENERGY:     880      1307.3064      3397.0250      3740.9614       197.4642        -937341.8168     84154.1007         0.0000         0.0000    149412.9042        -695132.0548       299.1146   -844544.9590   -694788.7693       299.7961            -99.1490       -67.0593   2458896.2130        18.9878        19.1776
ENERGY:     920      1243.3969      3362.1670      3758.2367       215.6559        -936959.2549     84005.7941         0.0000         0.0000    149334.7294        -695039.2747       298.9581   -844374.0041   -694695.0344       299.7657            -82.9037       -48.6413   2459983.6868        -3.5260        -3.6165
ENERGY:     960      1309.6467      3374.6649      3751.3913       218.6797        -937762.1653     84888.3636         0.0000         0.0000    149238.2451        -694981.1739       298.7650   -844219.4190   -694630.1330       299.4786              2.2570        35.2309   2459788.2027        12.8312        12.9573
ENERGY:    1000      1257.6280      3351.7655      3733.0855       205.2187        -937044.3373     84499.8374         0.0000         0.0000    149221.2866        -694775.5157       298.7310   -843996.8023   -694420.7593       298.9671            -54.6209       -19.4373   2462230.4375        11.6610        11.5319
ENERGY:    1040      1225.0971      3401.5348      3743.1354       204.5652        -937188.8127     84445.2566         0.0000         0.0000    149414.7022        -694754.5214       299.1182   -844169.2236   -694415.6804       299.1922            -50.0915       -15.9066   2461252.6394        -6.3766        -6.1107
ENERGY:    1080      1281.8059      3393.5282      3749.0752       193.8442        -937403.3168     84309.4664         0.0000         0.0000    149739.8087        -694735.7882       299.7691   -844475.5969   -694393.1038       300.1949            -78.2895       -44.4785   2463447.9939        -2.5497        -2.6414
ENERGY:    1120      1278.9160      3351.9647      3733.6869       197.9199        -937537.8858     84425.6720         0.0000         0.0000    149855.4025        -694694.3238       300.0005   -844549.7263   -694347.1240       299.8725            -78.9361       -43.0005   2463077.2306        -9.0917        -9.1053
ENERGY:    1160      1304.2453      3261.0661      3742.0083       203.4078        -937895.7339     84864.5525         0.0000         0.0000    149788.5352        -694731.9187       299.8666   -844520.4539   -694366.4715       299.9207            -37.1575        -3.3242   2461644.7576       -13.6786       -13.7229
ENERGY:    1200      1297.4453      3457.1518      3744.5339       219.6692        -937377.5219     84566.4637         0.0000         0.0000    149264.8932        -694827.3648       298.8183   -844092.2580   -694489.8007       299.0478            -70.9245       -34.3893   2462785.0631        -7.6322        -7.5526
ENERGY:    1240      1270.9327      3323.0980      3751.1976       203.4234        -937506.4864     84333.2166         0.0000         0.0000    149522.8232        -695101.7948       299.3347   -844624.6180   -694766.4852       299.6350           -100.7293       -65.8017   2462866.5496         7.0698         6.6594
ENERGY:    1280      1263.6812      3357.5760      3720.4778       198.5321        -937433.6839     84390.7320         0.0000         0.0000    149409.1451        -695093.5396       299.1071   -844502.6847   -694739.1141       299.3656            -84.0680       -51.1443   2462742.6597        -3.0029        -2.9663
ENERGY:    1320      1262.6749      3321.1893      3748.2613       205.5741        -937320.0498     84373.4700         0.0000         0.0000    149395.8881        -695012.9921       299.0806   -844408.8802   -694664.9330       299.4940            -60.3179       -26.6864   2461466.4207        -4.3142        -4.3908
ENERGY:    1360      1244.1142      3309.4453      3757.9898       202.4875        -937233.5254     84751.4651         0.0000         0.0000    148911.6151        -695056.4084       298.1111   -843968.0235   -694701.6635       298.8774             -1.3536        34.6131   2461210.3720        -5.6153        -5.7503
ENERGY:    1400      1226.5053      3316.6007      3742.2571       212.2684        -938013.9323     84955.1857         0.0000         0.0000    149527.6568        -695033.4583       299.3443   -844561.1152   -694695.6323       299.1170            -16.0329        15.9549   2461005.4059        16.0192        15.7612
